Date,Q,Conc
01/09/1991,2019,8.581
02/09/1991,2009,8.581
03/09/1991,1829,
04/09/1991,1789,8.355
06/09/1991,1769,8.806
07/09/1991,1759,8.806
08/09/1991,1749,8.806
09/09/1991,1739,8.581
10/09/1991,1729,8.581
11/09/1991,1719,8.581
12/09/1991,1709,8.581
13/09/1991,1709,8.581
14/09/1991,,8.355
15/09/1991,,8.581
18/09/1991,1749,7.903
19/09/1991,,8.129
20/09/1991,1769,8.129
21/09/1991,1779,7.903
22/09/1991,1779,7.903
23/09/1991,1789,7.903
24/09/1991,1799,7.677
25/09/1991,2389,7.677
26/09/1991,2299,7.226
27/09/1991,1959,7.452
28/09/1991,2219,7.452
29/09/1991,3889,6.548
30/09/1991,2519,6.548
01/10/1991,2149,7
02/10/1991,2029,7.226
03/10/1991,1949,7.677
04/10/1991,1899,7.903
06/10/1991,1899,7.677
07/10/1991,1899,7.452
08/10/1991,1899,7.452
09/10/1991,1899,7.677
10/10/1991,1899,7.677
11/10/1991,4149,7.452
12/10/1991,3739,6.097
13/10/1991,2799,6.323
14/10/1991,3529,6.097
15/10/1991,7289,5.645
16/10/1991,3729,5.871
17/10/1991,3419,6.774
18/10/1991,2819,6.774
19/10/1991,2729,7
20/10/1991,2669,7.226
21/10/1991,2619,7.226
22/10/1991,3059,7.452
23/10/1991,2779,7.226
24/10/1991,2449,7.677
25/10/1991,2449,7.677
26/10/1991,2449,7.677
27/10/1991,2449,7.677
28/10/1991,2449,7.903
29/10/1991,2449,7.677
30/10/1991,4119,6.548
31/10/1991,5939,6.323
01/11/1991,3639,7
02/11/1991,5189,6.323
03/11/1991,5169,6.548
04/11/1991,5899,6.774
05/11/1991,5069,6.548
06/11/1991,4639,7
07/11/1991,3969,7.677
08/11/1991,3929,7.903
09/11/1991,4079,8.129
10/11/1991,3879,7.903
11/11/1991,7159,7.903
12/11/1991,9879,6.548
13/11/1991,10399,6.548
14/11/1991,9069,7.452
15/11/1991,7139,7.903
16/11/1991,6759,8.806
17/11/1991,6769,8.806
18/11/1991,7309,8.581
19/11/1991,12199,8.355
20/11/1991,8989,7.452
21/11/1991,7229,8.806
22/11/1991,6899,9.484
23/11/1991,6579,9.484
24/11/1991,6269,9.71
25/11/1991,5979,9.484
26/11/1991,5679,9.484
27/11/1991,5379,9.258
28/11/1991,5089,9.258
29/11/1991,4839,9.258
30/11/1991,4709,9.484
01/12/1991,4569,9.484
02/12/1991,4429,9.484
03/12/1991,4289,9.258
04/12/1991,4159,9.484
05/12/1991,4019,9.484
06/12/1991,3879,9.484
07/12/1991,3749,9.032
08/12/1991,3609,9.71
09/12/1991,3469,8.581
10/12/1991,3339,9.71
11/12/1991,3259,9.71
12/12/1991,3259,10.161
13/12/1991,3259,9.71
14/12/1991,3259,9.71
15/12/1991,3259,9.71
16/12/1991,3259,9.258
17/12/1991,3369,9.484
18/12/1991,3499,8.129
19/12/1991,3949,9.032
20/12/1991,6119,7.903
21/12/1991,4339,7.677
22/12/1991,3979,8.581
23/12/1991,3699,8.581
24/12/1991,3439,9.032
25/12/1991,3319,9.258
26/12/1991,3229,9.258
27/12/1991,3139,9.484
28/12/1991,3059,9.258
29/12/1991,2989,9.484
30/12/1991,3029,9.484
31/12/1991,3089,9.258
01/01/1992,3069,9.71
02/01/1992,3029,9.71
03/01/1992,2999,9.935
04/01/1992,2959,9.032
05/01/1992,2919,8.806
06/01/1992,2889,8.806
07/01/1992,2869,8.806
08/01/1992,4009,8.581
09/01/1992,8619,7.226
10/01/1992,5459,7.452
11/01/1992,4169,8.355
12/01/1992,3819,8.806
13/01/1992,3759,9.032
14/01/1992,3689,9.258
15/01/1992,3619,9.258
16/01/1992,3559,9.484
17/01/1992,3489,9.71
18/01/1992,3429,9.71
19/01/1992,3359,9.935
20/01/1992,3289,9.71
21/01/1992,3229,9.71
22/01/1992,3159,9.71
23/01/1992,3099,9.935
24/01/1992,3039,9.935
25/01/1992,3019,10.161
26/01/1992,3679,9.935
27/01/1992,3229,9.484
28/01/1992,3189,9.484
29/01/1992,3149,9.71
30/01/1992,3079,9.71
31/01/1992,2779,9.935
01/02/1992,2669,9.935
02/02/1992,2619,9.935
03/02/1992,2579,9.935
04/02/1992,2529,10.161
05/02/1992,2489,9.935
06/02/1992,2439,9.935
07/02/1992,2399,9.71
08/02/1992,2359,9.935
09/02/1992,3339,9.71
10/02/1992,4089,9.032
11/02/1992,12899,7.677
12/02/1992,7289,7.677
13/02/1992,7409,7.903
14/02/1992,8719,8.355
15/02/1992,12799,7.677
16/02/1992,8199,9.258
17/02/1992,7079,9.71
18/02/1992,6589,10.161
19/02/1992,6209,9.935
20/02/1992,5859,9.935
21/02/1992,5499,10.387
22/02/1992,5279,10.387
23/02/1992,5159,10.161
24/02/1992,5029,10.161
25/02/1992,4909,10.161
26/02/1992,4789,10.161
27/02/1992,4669,10.161
28/02/1992,4559,10.161
29/02/1992,4449,9.71
01/03/1992,4329,9.71
02/03/1992,4119,9.484
03/03/1992,3909,9.484
04/03/1992,3799,9.71
05/03/1992,3699,9.71
06/03/1992,3609,9.71
07/03/1992,3739,9.71
08/03/1992,3579,9.71
09/03/1992,3289,9.484
10/03/1992,3359,9.71
11/03/1992,3269,8.806
12/03/1992,3229,9.71
13/03/1992,,9.71
14/03/1992,3489,9.71
15/03/1992,3369,9.258
16/03/1992,3249,9.71
17/03/1992,3139,9.484
18/03/1992,3099,9.71
19/03/1992,3099,9.484
20/03/1992,3099,9.71
21/03/1992,2909,9.484
22/03/1992,2779,9.71
23/03/1992,2979,9.71
24/03/1992,3049,9.258
25/03/1992,2929,9.258
26/03/1992,3289,9.484
27/03/1992,3329,9.032
28/03/1992,2839,8.806
29/03/1992,3509,9.032
30/03/1992,3989,8.581
31/03/1992,3749,
01/04/1992,3899,8.355
02/04/1992,4459,8.129
03/04/1992,3379,8.129
04/04/1992,2889,8.806
05/04/1992,2989,9.032
06/04/1992,3549,9.258
07/04/1992,4439,8.581
08/04/1992,3889,8.129
09/04/1992,3349,8.581
10/04/1992,3139,8.806
11/04/1992,3199,9.032
12/04/1992,3259,9.032
13/04/1992,3329,9.032
14/04/1992,3469,9.258
15/04/1992,4709,8.581
16/04/1992,3819,7.452
17/04/1992,3529,8.129
18/04/1992,3489,8.806
19/04/1992,3449,9.032
20/04/1992,3409,9.032
21/04/1992,3369,9.032
22/04/1992,3329,8.806
23/04/1992,3279,8.806
24/04/1992,3639,8.806
25/04/1992,5379,8.355
26/04/1992,12799,7.226
27/04/1992,9089,5.871
28/04/1992,8159,6.323
29/04/1992,6289,7
30/04/1992,6199,7.677
01/05/1992,7769,7.903
02/05/1992,6189,7.452
03/05/1992,5549,7.903
04/05/1992,5219,8.355
05/05/1992,5029,8.581
06/05/1992,4919,8.581
07/05/1992,4829,8.581
08/05/1992,4729,8.806
09/05/1992,4759,8.806
10/05/1992,5369,8.806
11/05/1992,5729,8.355
12/05/1992,4679,8.129
13/05/1992,4219,8.581
14/05/1992,3979,8.581
15/05/1992,3879,8.806
16/05/1992,3789,9.032
17/05/1992,3659,9.032
18/05/1992,3439,9.032
19/05/1992,3359,9.258
20/05/1992,3309,9.258
21/05/1992,3199,9.484
22/05/1992,2979,9.258
23/05/1992,2969,9.484
24/05/1992,2969,9.484
25/05/1992,2929,9.484
26/05/1992,2889,9.484
27/05/1992,2849,9.484
28/05/1992,3289,9.71
29/05/1992,3439,9.484
30/05/1992,3289,9.258
31/05/1992,3099,9.258
01/06/1992,4869,9.032
02/06/1992,4949,7.903
03/06/1992,3199,7.677
04/06/1992,2779,8.581
05/06/1992,2579,8.806
06/06/1992,2579,9.032
07/06/1992,2799,9.258
08/06/1992,3229,9.032
09/06/1992,2549,9.032
10/06/1992,2409,9.032
11/06/1992,2369,9.258
12/06/1992,2279,9.484
13/06/1992,2099,9.484
14/06/1992,2049,9.484
15/06/1992,1969,9.258
16/06/1992,1899,9.258
17/06/1992,1899,9.484
18/06/1992,1879,9.484
19/06/1992,1679,9.484
20/06/1992,1789,9.71
21/06/1992,1899,9.71
22/06/1992,1839,9.71
23/06/1992,1529,9.484
24/06/1992,1459,9.484
25/06/1992,1439,9.71
26/06/1992,1489,9.71
27/06/1992,1399,9.484
28/06/1992,1244,9.484
29/06/1992,1138,9.484
30/06/1992,2119,9.032
01/07/1992,2409,8.355
02/07/1992,1739,8.355
03/07/1992,1849,9.032
04/07/1992,2609,9.032
05/07/1992,2029,8.581
06/07/1992,1849,8.355
07/07/1992,1699,8.355
08/07/1992,1549,8.355
09/07/1992,1559,8.355
10/07/1992,1599,8.806
11/07/1992,1649,9.032
12/07/1992,1699,9.032
13/07/1992,1689,8.806
14/07/1992,1669,8.581
15/07/1992,1639,8.806
16/07/1992,1619,8.806
17/07/1992,1909,8.806
18/07/1992,1819,8.355
19/07/1992,1709,8.129
20/07/1992,1709,8.129
21/07/1992,1709,8.129
22/07/1992,1709,8.129
23/07/1992,1699,8.129
24/07/1992,1639,8.129
25/07/1992,1549,8.129
26/07/1992,1519,8.129
27/07/1992,1519,8.129
28/07/1992,1419,7.903
29/07/1992,1389,7.903
30/07/1992,1339,8.129
31/07/1992,1329,8.129
01/08/1992,1329,7.677
02/08/1992,1469,7.226
03/08/1992,1409,7.226
04/08/1992,1329,7.226
05/08/1992,1329,7.226
06/08/1992,1359,7.452
07/08/1992,1459,7.452
08/08/1992,1439,7.677
09/08/1992,1529,7.452
10/08/1992,1549,7
11/08/1992,1569,6.548
12/08/1992,1589,6.548
13/08/1992,1639,6.774
14/08/1992,2429,6.548
15/08/1992,1789,6.323
16/08/1992,1639,6.774
17/08/1992,1889,6.548
18/08/1992,1839,6.774
19/08/1992,1709,8.129
20/08/1992,1999,8.355
21/08/1992,2029,8.129
22/08/1992,2059,7.903
23/08/1992,1939,7.677
24/08/1992,3359,7
25/08/1992,3029,6.548
26/08/1992,2719,6.548
27/08/1992,2129,6.774
28/08/1992,1969,7.677
29/08/1992,1819,7.903
30/08/1992,3329,7.677
31/08/1992,4019,6.323
